date,product_id,product_name,category,price,qty_sold,revenue,day_of_week,is_weekend,month,year,week_of_year,day_of_year,is_promotion,promo_discount,season
2024-01-01,1,Nova Headphones,Electronics,199.99,9,1799.91,0,0,1,2024,1,1,0,0.0,winter
2024-01-01,2,Smart Watch Pro,Wearables,249.5,3,748.5,0,0,1,2024,1,1,0,0.0,winter
2024-01-01,3,Minimalist Lamp,Home Decor,45.0,4,180.0,0,0,1,2024,1,1,0,0.0,winter
2024-01-01,4,Leather Crossbody,Fashion,129.0,2,258.0,0,0,1,2024,1,1,0,0.0,winter
2024-01-01,5,Ceramic Vase Set,Home Decor,68.0,5,340.0,0,0,1,2024,1,1,0,0.0,winter
2024-01-01,6,Wireless Earbuds,Electronics,159.99,17,2719.83,0,0,1,2024,1,1,0,0.0,winter
2024-01-01,7,Gaming Keyboard,Electronics,89.99,8,719.92,0,0,1,2024,1,1,0,0.0,winter
2024-01-01,8,Yoga Mat Premium,Sports,34.99,3,104.97,0,0,1,2024,1,1,0,0.0,winter
2024-01-01,9,Coffee Maker Deluxe,Appliances,149.99,13,1949.87,0,0,1,2024,1,1,0,0.0,winter
2024-01-01,10,Smart Speaker,Electronics,79.99,7,559.93,0,0,1,2024,1,1,0,0.0,winter
2024-01-02,1,Nova Headphones,Electronics,199.99,9,1799.91,1,0,1,2024,1,2,0,0.0,winter
2024-01-02,2,Smart Watch Pro,Wearables,249.5,3,748.5,1,0,1,2024,1,2,0,0.0,winter
2024-01-02,3,Minimalist Lamp,Home Decor,45.0,6,270.0,1,0,1,2024,1,2,0,0.0,winter
2024-01-02,4,Leather Crossbody,Fashion,129.0,3,387.0,1,0,1,2024,1,2,0,0.0,winter
2024-01-02,5,Ceramic Vase Set,Home Decor,68.0,6,408.0,1,0,1,2024,1,2,0,0.0,winter
2024-01-02,6,Wireless Earbuds,Electronics,159.99,18,2879.82,1,0,1,2024,1,2,0,0.0,winter
2024-01-02,7,Gaming Keyboard,Electronics,89.99,7,629.93,1,0,1,2024,1,2,0,0.0,winter
2024-01-02,8,Yoga Mat Premium,Sports,34.99,7,244.93,1,0,1,2024,1,2,0,0.0,winter
2024-01-02,9,Coffee Maker Deluxe,Appliances,149.99,8,1199.92,1,0,1,2024,1,2,0,0.0,winter
2024-01-02,10,Smart Speaker,Electronics,79.99,15,1199.85,1,0,1,2024,1,2,0,0.0,winter
2024-01-03,1,Nova Headphones,Electronics,199.99,8,1599.92,2,0,1,2024,1,3,0,0.0,winter
2024-01-03,2,Smart Watch Pro,Wearables,249.5,4,998.0,2,0,1,2024,1,3,0,0.0,winter
2024-01-03,3,Minimalist Lamp,Home Decor,45.0,9,405.0,2,0,1,2024,1,3,0,0.0,winter
2024-01-03,4,Leather Crossbody,Fashion,129.0,1,129.0,2,0,1,2024,1,3,0,0.0,winter
2024-01-03,5,Ceramic Vase Set,Home Decor,68.0,3,204.0,2,0,1,2024,1,3,0,0.0,winter
2024-01-03,6,Wireless Earbuds,Electronics,159.99,22,3519.78,2,0,1,2024,1,3,0,0.0,winter
2024-01-03,7,Gaming Keyboard,Electronics,89.99,11,989.89,2,0,1,2024,1,3,0,0.0,winter
2024-01-03,8,Yoga Mat Premium,Sports,34.99,4,139.96,2,0,1,2024,1,3,0,0.0,winter
2024-01-03,9,Coffee Maker Deluxe,Appliances,149.99,6,899.94,2,0,1,2024,1,3,0,0.0,winter
2024-01-03,10,Smart Speaker,Electronics,79.99,12,959.88,2,0,1,2024,1,3,0,0.0,winter
2024-01-04,1,Nova Headphones,Electronics,199.99,11,2199.89,3,0,1,2024,1,4,0,0.0,winter
2024-01-04,2,Smart Watch Pro,Wearables,249.5,6,1497.0,3,0,1,2024,1,4,0,0.0,winter
2024-01-04,3,Minimalist Lamp,Home Decor,45.0,8,360.0,3,0,1,2024,1,4,0,0.0,winter
2024-01-04,4,Leather Crossbody,Fashion,129.0,1,129.0,3,0,1,2024,1,4,0,0.0,winter
2024-01-04,5,Ceramic Vase Set,Home Decor,68.0,0,0.0,3,0,1,2024,1,4,0,0.0,winter
2024-01-04,6,Wireless Earbuds,Electronics,159.99,11,1759.89,3,0,1,2024,1,4,0,0.0,winter
2024-01-04,7,Gaming Keyboard,Electronics,89.99,11,989.89,3,0,1,2024,1,4,0,0.0,winter
2024-01-04,8,Yoga Mat Premium,Sports,34.99,8,279.92,3,0,1,2024,1,4,0,0.0,winter
2024-01-04,9,Coffee Maker Deluxe,Appliances,149.99,5,749.95,3,0,1,2024,1,4,0,0.0,winter
2024-01-04,10,Smart Speaker,Electronics,79.99,12,959.88,3,0,1,2024,1,4,0,0.0,winter
2024-01-05,1,Nova Headphones,Electronics,199.99,13,2599.87,4,0,1,2024,1,5,0,0.0,winter
2024-01-05,2,Smart Watch Pro,Wearables,249.5,5,1247.5,4,0,1,2024,1,5,0,0.0,winter
2024-01-05,3,Minimalist Lamp,Home Decor,45.0,9,405.0,4,0,1,2024,1,5,0,0.0,winter
2024-01-05,4,Leather Crossbody,Fashion,129.0,7,903.0,4,0,1,2024,1,5,0,0.0,winter
2024-01-05,5,Ceramic Vase Set,Home Decor,68.0,6,408.0,4,0,1,2024,1,5,0,0.0,winter
2024-01-05,6,Wireless Earbuds,Electronics,159.99,16,2559.84,4,0,1,2024,1,5,0,0.0,winter
2024-01-05,7,Gaming Keyboard,Electronics,89.99,5,449.95,4,0,1,2024,1,5,0,0.0,winter
2024-01-05,8,Yoga Mat Premium,Sports,34.99,5,174.95,4,0,1,2024,1,5,0,0.0,winter
2024-01-05,9,Coffee Maker Deluxe,Appliances,149.99,10,1499.9,4,0,1,2024,1,5,0,0.0,winter
2024-01-05,10,Smart Speaker,Electronics,79.99,14,1119.86,4,0,1,2024,1,5,0,0.0,winter
2024-01-06,1,Nova Headphones,Electronics,199.99,12,2399.88,5,1,1,2024,1,6,0,0.0,winter
2024-01-06,2,Smart Watch Pro,Wearables,249.5,9,2245.5,5,1,1,2024,1,6,0,0.0,winter
2024-01-06,3,Minimalist Lamp,Home Decor,45.0,5,225.0,5,1,1,2024,1,6,0,0.0,winter
2024-01-06,4,Leather Crossbody,Fashion,129.0,1,129.0,5,1,1,2024,1,6,0,0.0,winter
2024-01-06,5,Ceramic Vase Set,Home Decor,68.0,7,476.0,5,1,1,2024,1,6,0,0.0,winter
2024-01-06,6,Wireless Earbuds,Electronics,159.99,20,3199.8,5,1,1,2024,1,6,0,0.0,winter
2024-01-06,7,Gaming Keyboard,Electronics,89.99,14,1259.86,5,1,1,2024,1,6,0,0.0,winter
2024-01-06,8,Yoga Mat Premium,Sports,34.99,8,279.92,5,1,1,2024,1,6,0,0.0,winter
2024-01-06,9,Coffee Maker Deluxe,Appliances,149.99,12,1799.88,5,1,1,2024,1,6,0,0.0,winter
2024-01-06,10,Smart Speaker,Electronics,79.99,16,1279.84,5,1,1,2024,1,6,0,0.0,winter
2024-01-07,1,Nova Headphones,Electronics,199.99,12,2399.88,6,1,1,2024,1,7,0,0.0,winter
2024-01-07,2,Smart Watch Pro,Wearables,249.5,4,998.0,6,1,1,2024,1,7,0,0.0,winter
2024-01-07,3,Minimalist Lamp,Home Decor,45.0,5,225.0,6,1,1,2024,1,7,0,0.0,winter
2024-01-07,4,Leather Crossbody,Fashion,129.0,2,258.0,6,1,1,2024,1,7,0,0.0,winter
